run_id,seed,number_of_clusters,number_of_extremists
20260615_155944_247355,1,1,0
20260615_155944_247355,2,1,0
20260615_155944_247355,3,1,0
20260615_155944_247355,4,1,0
20260615_155944_247355,5,1,0
20260615_160316_777317,1,3,50
20260615_160316_777317,2,3,50
20260615_160316_777317,3,3,50
20260615_160316_777317,4,3,50
20260615_160316_777317,5,3,50
20260615_160516_448904,1,3,100
20260615_160516_448904,2,3,100
20260615_160516_448904,3,3,100
20260615_160516_448904,4,3,100
20260615_160516_448904,5,3,100
20260615_160541_183213,1,3,250
20260615_160541_183213,2,3,250
20260615_160541_183213,3,3,250
20260615_160541_183213,4,3,250
20260615_160541_183213,5,3,250
20260615_160639_516153,1,3,500
20260615_160639_516153,2,3,500
20260615_160639_516153,3,3,500
20260615_160639_516153,4,3,500
20260615_160639_516153,5,3,500
20260615_160654_881372,1,3,750
20260615_160654_881372,2,3,750
20260615_160654_881372,3,4,750
20260615_160654_881372,4,3,750
20260615_160654_881372,5,4,750
20260615_160713_533005,1,2,1000
20260615_160713_533005,2,2,1000
20260615_160713_533005,3,2,1000
20260615_160713_533005,4,2,1000
20260615_160713_533005,5,2,1000
